# $Id$
# $Rev$
# $LastChangedBy$
# $LastChangedDate$
#
# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    (bt <= 15.5 and objtype='G' and logd25 between 1.0 and 2.5) 
# OR (objname in ('PGC008328', 'PGC008340', 'PGC008330'))
#
# Display the fields:              objname as NAME,al2000*15 as ra,de2000 as dec, logd25, logr25, pa, bt
# Order by:                        al2000
# Description of each column
# objname as NAME: ----- Object name
# al2000*15 as ra: ----- Right ascension (deg)
# de2000 as dec: ------- Declination (deg)
#  logd25: ------------- Log10 diameter (0.1 arcmin) at mu=25 mag/asec^2
#  logr25: ------------- Log10 major-minor axis ratio
#  pa: ----------------- Position Angle
#  bt: ----------------- Total B-band magnitude
#-----,---,----,-------,-------,---,---
# name, ra, dec, logd25, logr25, pa, bt
#-----,---,----,-------,-------,---,---
NGC0015,2.2602495,21.6244167,1.03,0.285,30.25,15.083
ESO349-033,2.264142,-32.9142364,1.149,0.74,20.6,14.756
NGC0016,2.2678755,27.7294444,1.241,0.314,17.2,13
ESO293-043,2.279691,-37.3576774,1.009,0.21,169.21,15.001
NGC0020,2.3862495,33.3086111,1.237,0.109,140.5,14.406
IC1531,2.398077,-32.2769004,1.276,0.159,124.37,13.515
UGC00087,2.4440265,28.3418725,1.053,0.1,100,15.039
PGC000692,2.4445545,-35.2746971,1.011,0.106,25.97,15.16
NGC0022,2.4507705,27.8321389,1.082,0.211,154.84,14.834
UGC00088,2.466441,4.6748855,1.069,0.144,21.68,15.24
IC1532,2.4695775,-64.3716094,1.263,0.533,73.57,14.84
NGC0023,2.4721665,25.9235991,1.19,0.103,174.16,12.839
NGC0024,2.4847695,-24.963769,1.791,0.41,44.41,12.08
NGC0025,2.497206,-57.0209406,1.154,0.111,83.85,14
UGC00093,2.5695,30.8495278,1.284,0.102,63.69,15.143
ESO241-021,2.5832115,-46.4193302,1.375,0.573,52.45,14.197
ESO241-022,2.605584,-46.4919722,1.147,0.398,67.9,14.21
NGC0026,2.607792,25.8317778,1.05,0.169,102,13.84
NGC0027,2.636541,28.9962222,1.086,0.423,117.8,14.433
ESO149-020,2.659875,-56.9865092,1.067,0.346,2.3,14.581
PGC2440513,2.662209,53.4177778,1.06,0.1,61.5,14.66
ESO149-021,2.6635455,-56.8034632,1.045,0.298,97.75,15.087
UGC00099,2.6696835,13.7094428,1.401,0,,15.325
UGC00098,2.670291,32.9831111,1.081,0.306,40.51,13.834
ESO241-023,2.688438,-47.0744722,1.293,0.356,165.34,13.941
NGC0029,2.6953335,33.3528333,1.14,0.344,149.8,13.424
ESO538-025,2.7261105,-21.0674294,1.193,0.639,103.22,15.085
UGC00102,2.754417,30.052,1.164,0.092,83.25,14.82
NGC0017,2.777292,-12.1076914,1.062,0.475,31.5,14.153
ESO349-038,2.8025265,-33.5785452,1.226,0.429,56.53,13.958
UGC00105,2.809299,28.9064661,1.054,0.089,33.78,15.114
ESO409-025,2.840208,-28.8543787,1.153,0.207,21.11,14.273
NGC0036,2.842959,6.3892222,1.33,0.21,14.85,14.389
NGC0037,2.845467,-56.9573664,1.046,0.214,29.82,14.94
ESO293-045,2.853504,-41.3982353,1.061,0.474,137.98,15.159
ESO193-034,2.854983,-48.7335096,1.071,0.476,112.34,15.186
ESO409-026,2.9453955,-30.1341389,1.088,0.553,125.28,15.429
NGC0038,2.9457435,-5.586282,1.055,0.032,,14.34
ESO193-035,3.017166,-47.2960556,1.036,0.253,2.56,15.16
NGC0039,3.0785415,31.0610833,1.04,0.046,87,14.341
UGC00117,3.2271255,33.3614167,1.075,0.221,99.05,15.135
NGC0043,3.25314,30.9152693,1.142,0.058,,13.865
UGC00121,3.2532435,39.2459076,1.023,0.323,107.25,15.344
ESO472-020,3.262125,-24.2146667,1.102,0.346,140.74,15.25
PGC000876,3.2642085,-30.7205278,1.036,0.38,84.75,15.49
PGC000885,3.302508,-12.5568211,1.139,0.73,106.01,15.38
UGC00122,3.3230265,17.0295162,1.296,0.784,107.5,15.096
PGC000892,3.3318885,-37.5144737,1.02,0.224,128.01,15.307
ESO193-037,3.3391245,-49.36225,1.004,0.189,86.79,14.754
UGC00124,3.3489675,28.3690297,1.085,0.68,33.6,15.438
IC0004,3.362292,17.4864167,1.068,0.146,11.99,14.136
PGC000902,3.3933945,-5.0931239,1.033,0.435,172.2,14.14
IC1534,3.4393335,48.1512222,1.009,0.367,69.5,15.056
PGC000916,3.4491075,-4.4751013,1.087,0.472,142.05,15.015
ESO050-006,3.495792,-70.0226667,1.201,0.13,88.64,14.53
UGC00132,3.503208,12.9638611,1.121,0.488,15.75,15.227
NGC0048,3.509208,48.2348611,1.128,0.346,15,14.926
NGC0045,3.5165415,-23.1818333,1.791,0.144,158.7,11.399
NGC0047,3.6280185,-7.1671993,1.129,0.093,85.25,13.5
UGC00139,3.632763,-0.7376102,1.195,0.372,82.28,14.543
NGC0051,3.645375,48.2555,1.146,0.242,32,14.439
NGC0052,3.6669045,18.5819777,1.355,0.57,125.96,14.343
ESO293-049,3.6702495,-37.6573056,1.059,0.261,61.54,14.639
NGC0053,3.678429,-60.3284429,1.188,0.21,177.75,13.363
NGC0050,3.685809,-7.3451412,1.31,0.24,153.73,12.79
NGC0055,3.7233675,-39.1965824,2.475,0.991,100.95,8.387
PGC130881,3.7587375,-38.483229,1.005,0.448,91,15.5
ESO410-004,3.779916,-29.2104722,1.086,0.536,11.75,14.868
NGC0054,3.7819425,-7.1066865,1.131,0.437,92.6,14.315
ESO473-005,3.795657,-23.8819081,1.28,0.342,45.57,14.592
PGC001023,3.8214195,-7.538042,1.025,0.58,87.33,15.385
NGC0059,3.8547,-21.4444603,1.377,0.285,120.83,13.137
NGC0057,3.878625,17.3283889,1.324,0.12,46.75,12.702
ESO410-005,3.880113,-32.1804986,1.113,0.169,50.81,15.417
UGC00147,3.9317505,29.6668056,1.131,0.6,155.75,14.81
UGC00146,3.932916,27.4443056,1.072,0.435,66,15.417
ESO350-004,3.9333,-33.0306708,1.013,0.083,18.5,14.544
NGC0060,3.992676,-0.3035533,1.014,0.196,29.47,15.218
UGC00151,4.061625,10.3323611,1.144,0.302,115,14.507
PGC001082,4.10025,28.9765278,1.02,0.44,62,15.108
NGC0061B,4.100403,-6.317895,1.127,0.111,,14.04
NGC0061A,4.101369,-6.3219484,1.169,0.112,178.81,14.095
UGC00155,4.1841435,7.0760355,1.141,0.592,3.8,14.523
UGC00156,4.2008205,12.3495139,1.01,0.249,7.33,14.914
PGC001109,4.211922,-5.2683481,1.166,0.48,45.75,14.775
UGC00158,4.271037,42.1612595,1.096,0.634,174.83,15.431
PGC001127,4.276248,-4.6103136,1.156,0.65,125.75,14.975
ESO539-005,4.2925515,-19.3014562,1.203,0.204,42.18,13.471
UGC00164,4.34871,18.0843044,1.17,0.42,58.45,15.118
NGC0064,4.376562,-6.8245924,1.14,0.188,35.37,14.09
PGC001150,4.382166,-24.2233611,1.013,0.1,26.56,15.22
UGC00166,4.3995,30.2049722,1.089,0.285,19.5,15.433
UGC00165,4.424022,24.6672732,1.013,0.49,36.67,15.346
NGC0063,4.439667,11.4503333,1.235,0.217,107.65,12.7
ESO194-001,4.477917,-47.928,1.011,0.228,53.54,15.16
ESO350-007,4.5192105,-33.8745751,1.179,0.081,126.02,14.338
ESO294-002,4.5248115,-37.7093517,1.125,0.508,161.42,15.269
NGC0068,4.5771255,30.0718056,1.11,0.032,,14.418
UGC00169,4.5774405,19.3928922,1.016,0.38,18.6,14.746
ESO028-012,4.583025,-73.1525548,1.076,0.429,131.78,14.96
NGC0070,4.593834,30.0795833,1.228,0.086,3.32,14.349
NGC0071,4.598292,30.0631944,1.29,0.126,109,14.226
NGC0072,4.618209,30.0406944,1.064,0.04,,14.6
NGC0073,4.662399,-15.3223635,1.225,0.222,145,14.373
ESO539-007,4.7021205,-19.0077766,1.099,0.188,151.23,15.023
PGC001221,4.708767,-10.3617026,1.037,0.458,34.77,14.814
PGC001223,4.7112465,-8.4586592,1.033,0.134,168.77,14.923
UGC00178,4.721592,48.0166972,1.004,0.319,18,14.672
IC0006,4.7293845,-3.2760796,1.09,0.056,146,14.57
NGC0065,4.7446665,-22.8803056,1.01,0.089,167.5,14.67
UGC00181,4.7502495,19.3978611,1.062,0.543,15.25,15.338
NGC0066,4.7705235,-22.9363713,1.094,0.398,34.82,14.118
UGC00180,4.784274,15.7493728,1.032,0.534,170.33,15.168
ESO473-011,4.7890605,-24.5230474,1.085,0.37,145.34,15.011
PGC001261,4.858542,-4.0838194,1.038,0.151,149.61,14.49
NGC0075,4.859211,6.4490567,1.259,0,,14.636
UGC00183,4.896291,47.2410556,1.172,0.424,49.75,13.718
NGC0076,4.9074585,29.9338056,1.106,0.107,78.25,14.064
ESO194-004,4.915224,-51.266613,1.218,0.531,26.16,14.498
ESO350-009,4.9480365,-34.4720016,1.103,0.171,84.97,14.65
PGC001288,5.000226,-6.3336973,1.177,0.375,154,14.425
UGC00191,5.021259,10.879201,1.293,0.072,150,13.999
ESO150-001,5.025942,-54.5231263,1.06,0.225,18.65,14.817
IC0013,5.0837805,7.700436,1.11,0.389,162,14.929
IC0010,5.09625,59.293098,1.825,0.054,129,11.776
NGC0078A,5.107485,0.8263684,1.068,0.257,75.16,14.581
NGC0078B,5.1146565,0.8335326,1.001,0.086,136.85,14.396
UGC00196,5.142672,47.4342462,1.042,0.193,148.06,14.141
PGC001326,5.1746655,-4.4330922,1.142,0.26,149.82,14.695
ESO473-016,5.1751665,-23.2828333,1.19,0.355,76.28,14.385
ESO078-022,5.2374135,-63.8570505,1.36,0.793,170.85,14.577
NGC0080,5.2952505,22.35725,1.26,0.054,4.5,13.329
IC1544,5.322834,23.0908611,1.042,0.155,143.46,14.802
NGC0083,5.3436435,22.4337475,1.098,0.055,112,13.63
NGC0089,5.351505,-48.6654344,1.092,0.344,140.05,14.184
NGC0092,5.3822085,-48.6248921,1.217,0.335,149.87,13.933
ESO112-001,5.4323595,-61.7110802,1.145,0.762,10.35,15.49
NGC0093,5.5133745,22.4080833,1.115,0.25,49.8,14.33
UGC00210,5.5212495,23.7369722,1.006,0.41,18.29,15.031
PGC001419,5.542416,-4.3463611,1.048,0.151,94.23,15.28
NGC0095,5.556333,10.4915833,1.164,0.131,84.79,13.279
UGC00212,5.5950825,-1.3035198,1.021,0.308,44.16,14.834
ESO150-005,5.609493,-53.6478833,1.371,0.191,33.9,14.03
UGC00215,5.610375,29.50425,1.062,0.182,139.56,14.837
NGC0097,5.624916,29.7453611,1.121,0.055,,13.408
PGC001451,5.641044,-8.4864093,1.261,0.7,119.2,14.94
ESO194-013,5.658639,-48.5811256,1.104,0.093,41.31,13.917
NGC0098,5.706354,-45.269,1.209,0.072,65.16,13.426
PGC001461,5.7077505,6.8173611,1.039,0.498,50,15.202
IC1549,5.707791,6.9643056,1.162,0,,14.972
PGC001470,5.7206025,-14.5343421,1.007,0.15,160.5,15.017
PGC001481,5.7563535,-56.8347083,1.104,0.111,112.65,14.3
ESO112-002,5.7961665,-59.6175,1.01,0.204,62.74,15.04
UGC00226,5.9507175,14.6840214,1.076,0.295,3.49,15.107
NGC0101,5.977599,-32.536217,1.285,0.024,,13.368
NGC0099,5.997558,15.770376,1.02,0.077,45.97,14.117
NGC0100,6.0121095,16.4868117,1.55,0.862,55.52,13.862
PGC001527,6.067458,14.236779,1.041,0.873,57.45,15.305
ESO242-007,6.091257,-45.5074441,1.259,0.8,145.24,14.95
ESO194-015,6.1179375,-50.6849861,1.024,0.038,,14.88
UGC00232,6.16125,33.2561389,1.025,0.196,10,14.644
PGC001547,6.1810005,-6.0228611,1.067,0.188,153,14.83
PGC260239,6.220485,-72.7950332,1.37,0.22,12,13
UGC00238,6.263958,31.34475,1.252,0.591,176,14.13
UGC00240,6.292167,6.4908611,1.016,0.238,63.22,14.846
UGC00242,6.369666,20.2377222,1.116,0.13,132.06,14.14
UGC00243,6.3745605,45.9217388,1.231,0.666,2,14.807
UGC00244,6.3751245,24.8113333,1.001,0.365,152.67,14.848
ESO350-015,6.381084,-33.0460556,1.189,0.188,23.53,14.438
PGC127434,6.3928215,-62.9155417,1.006,0.579,145.5,15.13
ESO079-001,6.453375,-62.33,1.074,0.325,127.37,14.771
PGC001616,6.468717,-9.6618436,1.007,0.49,88.76,15.035
NGC0108,6.498792,29.2120556,1.227,0.17,62.5,13.258
PGC001627,6.5296665,25.7251944,1.024,0.37,46.32,14.903
PGC3097691,6.5452485,-11.0472805,1.699,0.056,63,14.4
NGC0109,6.560958,21.8073889,1.02,0.104,82.67,14.734
PGC001634,6.5726565,-4.4923263,1.119,0.544,101.52,14.47
PGC169989,6.67575,-7.9467778,1.019,0.55,55.33,15.4
PGC001646,6.683349,-3.596636,1.002,0.601,52,15.17
NGC0115,6.6932715,-33.6769404,1.32,0.457,122.87,13.722
NGC0112,6.7029585,31.7033056,1.007,0.314,106.5,14.447
NGC0113,6.72762,-2.5008677,1.089,0.088,171.9,14.012
PGC100430,6.7324455,-48.7916622,1.02,0.219,119.88,15.35
NGC0119,6.7400415,-56.9780278,1.079,0.03,,14.15
UGC00260,6.762078,11.5838035,1.329,0.52,22.78,13.916
NGC0116,6.7717935,-7.6682251,1.032,0.306,97.97,14.7
ESO294-016,6.7881735,-40.9843493,1.117,0.305,142.58,15.057
PGC001683,6.8334165,-4.8913056,1.004,0.17,27.39,15.28
NGC0120,6.8752785,-1.5134878,1.18,0.481,73.33,14.565
IC1551,6.8979585,8.8775556,1.383,0.553,3.1,14.88
UGC00272,6.957228,-1.1999464,1.128,0.435,126.43,15.228
NGC0124,6.968166,-1.8101528,1.102,0.246,168.16,13.73
UGC00275,6.9942915,2.5074444,1.105,0.332,133.33,14.83
