# $Id$
# $Rev$
# $LastChangedBy$
# $LastChangedDate$
#
# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    (bt <= 15.5 and objtype='G' and logd25 between 1.0 and 2.5) 
# OR (objname in ('PGC008328', 'PGC008340', 'PGC008330'))
#
# Display the fields:              objname as NAME,al2000*15 as ra,de2000 as dec, logd25, logr25, pa, bt
# Order by:                        al2000
# Description of each column
# objname as NAME: ----- Object name
# al2000*15 as ra: ----- Right ascension (deg)
# de2000 as dec: ------- Declination (deg)
#  logd25: ------------- Log10 diameter (0.1 arcmin) at mu=25 mag/asec^2
#  logr25: ------------- Log10 major-minor axis ratio
#  pa: ----------------- Position Angle
#  bt: ----------------- Total B-band magnitude
#-----,---,----,-------,-------,---,---
# name, ra, dec, logd25, logr25, pa, bt
#-----,---,----,-------,-------,---,---
NGC4168,183.071931,13.2051931,1.466,0.109,121.15,12.027
NGC4169,183.078234,29.1793662,1.215,0.305,151.33,13.146
NGC4173,183.086748,29.2093726,1.37,0.654,134.44,13.586
ESO217-030,183.0970005,-52.4614167,1.099,0.168,70.9,14.61
NGC4175,183.128964,29.1685042,1.208,0.684,130.45,14.185
IC0769,183.1347255,12.1237212,1.342,0.164,37.23,13.387
ESO321-012,183.151284,-40.0355165,1.103,0.709,98.9,14.996
ESO441-019,183.159,-32.5828056,1.013,0.294,16.07,15.19
NGC4177,183.171966,-14.0145885,1.261,0.158,61.37,13.295
NGC4178,183.1928955,10.8657101,1.668,0.573,31.67,11.923
IC3044,183.201867,13.9760839,1.1,0.399,69.66,14.282
NGC4181,183.204108,52.9032915,1.048,0.159,8.09,14.834
PGC038954,183.2069115,65.8150896,1.074,0.132,64.43,14.939
NGC4179,183.2170995,1.2997088,1.651,0.566,145.61,11.857
ESO573-003,183.228879,-20.4195625,1.09,0.313,125.29,14.88
UGC07218,183.2360535,52.2638666,1.064,0.54,166.93,14.761
NGC4180,183.262782,7.0389365,1.16,0.47,21.33,13.223
IC3046,183.2827845,12.9181836,1.128,0.67,131.57,15.309
NGC4183,183.320361,43.6985004,1.632,0.839,165.64,12.835
UGC07224,183.326085,21.6342946,1.053,0.107,9.34,14.64
NGC4185,183.342552,28.5109692,1.268,0.166,165.44,13.412
NGC4187,183.3720075,50.7415281,1.216,0.195,146.92,14.263
UGC07228,183.4032495,46.4939722,1.05,0.446,180,15.04
PGC039014,183.406791,16.1193056,1.024,0.402,,14.553
NGC4190,183.435372,36.6332488,1.185,0.036,,13.846
NGC4189,183.4470645,13.4249638,1.342,0.088,86.66,12.519
NGC4192,183.451428,14.8999705,2.043,0.618,152.4,10.823
ESO321-014,183.4570305,-38.2309718,1.119,0.42,21.83,15.22
NGC4191,183.4599615,7.2009018,1.181,0.091,2.77,13.561
ESO267-029,183.467709,-47.2736667,1.13,0.135,137.99,14.216
NGC4193,183.47331,13.1728326,1.348,0.351,89.71,13.117
PGC039052,183.5090925,6.7231851,1.053,0.373,27.75,15.318
ESO573-004,183.519741,-17.9665981,1.108,0.667,42,15.38
NGC4186,183.5271375,14.7257011,1.007,0.109,57.41,14.518
UGC07242,183.5350275,66.0946866,1.151,0.343,172,14.921
UGC07239,183.538143,7.7765174,1.29,0.029,,13.903
NGC4194,183.5400795,54.5264728,1.215,0.16,,12.948
ESO267-030,183.553428,-47.228595,1.013,0.07,116.1,14.21
NGC4195,183.575349,59.6154244,1.179,0.059,173.12,15.286
NGC4196,183.623967,28.4234883,1.056,0.15,58.68,13.621
NGC4197,183.6605715,5.8055651,1.453,0.587,35.63,13.356
NGC4201,183.674397,-11.5828488,1.002,0.14,80.69,14.475
NGC4200,183.684246,12.1807335,1.154,0.218,96.99,13.857
ESO380-001,183.688008,-35.5098139,1.33,0.115,19.1,12.923
NGC4199,183.7025445,59.9061955,1.012,0.17,48.8,15.3
ESO380-002,183.727854,-35.5994536,1.024,0.322,166.3,15.242
IC3059,183.729699,13.4606222,1.228,0.085,3.36,14.783
NGC4205,183.731439,63.7827974,1.223,0.405,31.28,13.709
UGC07257,183.7622475,35.9587572,1.115,0.211,164.04,14.215
IC3061,183.7686165,14.0288864,1.346,0.739,120.22,14.369
NGC4203,183.7709445,33.1972706,1.534,0.38,10.23,11.719
PGC039155,183.7715145,-13.2339515,1.095,0.349,122.5,14.88
ESO441-022,183.7830555,-30.7662437,1.376,0.571,177.78,14.012
PGC039170,183.798321,-3.4409291,1.12,0.64,30.64,15.019
IC3065,183.802374,14.4328504,1.095,0.151,178.91,14.389
NGC4204,183.8103765,20.6587139,1.608,0,,12.886
NGC4210,183.816015,65.9853551,1.287,0.145,96.23,13.378
ESO267-034,183.8194605,-43.0239159,1.098,0.198,107.41,14.684
NGC4206,183.820107,13.0239151,1.671,0.727,0.47,12.866
UGC07267,183.8485995,51.3498452,1.115,0.367,51.82,14.627
ESO321-016,183.861417,-38.1440278,1.37,0.529,129.97,13.84
NGC4207,183.8770185,9.5849306,1.177,0.288,122.17,13.404
UGC07271,183.889305,43.4341353,1.07,0.387,160.29,15.123
ESO380-006,183.892635,-35.6297477,1.561,0.353,78.62,12.618
UGC07270,183.893499,21.8325926,1.102,0.476,162.22,14.977
NGC4211,183.899301,28.1776326,1.011,0.231,123.12,14.298
PGC039208,183.9037605,21.9092494,1.041,0.553,117.33,15.036
NGC4213,183.9065115,23.9818893,1.195,0.155,66.71,13.516
NGC4212,183.9138765,13.9015755,1.447,0.219,73.6,11.782
NGC4214,183.9142905,36.326393,1.832,0.109,,10.209
SDSSJ121542.38+470416.1,183.9267195,47.0711721,1.271,0.325,51.48,14.851
NGC4218,183.943281,48.1310001,1.011,0.193,134.91,13.447
NGC4217,183.9621975,47.0918971,1.743,0.568,49.75,12.048
UGC07280,183.968778,0.4007307,1.059,0.26,155.5,14.649
ESO321-018,183.9761685,-38.0934229,1.15,0.23,30.9,14.188
NGC4216,183.976284,13.1493536,1.893,0.629,19.5,10.873
NGC4215,183.977157,6.4011424,1.227,0.472,174.49,12.898
ESO441-024,183.983832,-29.0562137,1.135,0.718,4.6,15.14
IC3077,183.9847215,14.4329265,1.031,0.165,179.33,14.597
UGC07286,183.9967845,27.4421629,1.057,0.535,109.12,15.101
NGC4221,183.9994935,66.2308374,1.267,0.184,24.34,13.32
SDSSJ121607.89+403649.0,184.033038,40.6136976,1.37,0.056,19.63,12.027
NGC4220,184.0488195,47.8832748,1.525,0.521,139.72,12.229
UGC07289,184.058871,28.7625526,1.051,0.595,8.21,15.396
ESO505-029,184.0738755,-26.6575833,1.062,0.228,57,14.731
NGC4222,184.0944585,13.3072833,1.452,0.825,55.97,13.796
NGC4226,184.1095485,47.0253914,1.048,0.32,123.31,14.341
NGC4219,184.113786,-43.324207,1.574,0.483,31.64,12.681
IC3091,184.121487,14.012328,1.035,0.332,125.2,14.473
NGC4227,184.140366,33.5220161,1.174,0.261,70.98,13.717
NGC4224,184.140759,7.4620827,1.463,0.396,55.36,12.678
NGC4229,184.1616105,33.5609015,1.092,0.192,9.28,14.22
NGC4236,184.1754435,69.4626085,2.371,0.535,161.33,10.057
UGC07300,184.1802705,28.7310127,1.154,0,,15.093
NGC4232,184.2042045,47.4387899,1.09,0.356,152.14,14.517
PGC039359,184.207431,65.8299067,1.051,0.511,116.05,15.309
IC3096,184.2183405,14.5147622,1.045,0.48,95.7,15.175
NGC4238,184.232544,63.4099203,1.239,0.517,35.36,14.135
ESO380-008,184.2453465,-37.4697937,1.166,0.381,31.93,14.72
ESO321-019,184.26786,-39.0508579,1.06,0.147,132.79,13.6
IC3100,184.2730035,12.2897613,1.148,0.503,58.09,15.087
NGC4233,184.282029,7.6243615,1.37,0.379,176.53,12.865
NGC4234,184.287972,3.682903,1.062,0.016,,13.397
IC3099,184.2885945,12.4539061,1.267,0.749,173.86,14.975
NGC4235,184.2912045,7.1915561,1.644,0.693,49,12.446
NGC4237,184.2975975,15.3239034,1.34,0.191,105.43,12.39
NGC4239,184.3122735,16.5313241,1.132,0.234,117.44,13.662
NGC4240,184.351458,-9.9515972,1.166,0.06,90,14.272
IC3102,184.357539,6.6900432,1.306,0.208,131.09,12.881
NGC4250,184.3597605,70.8024473,1.272,0.3,166.01,12.9
PGC039413,184.3635945,17.6505097,1.001,0.22,128.37,14.551
NGC4244,184.3727955,37.8077928,2.21,0.35,44.77,10.439
NGC4242,184.37568,45.6191956,1.58,0.153,22.65,11.59
IC3105,184.390428,12.3877972,1.189,0.7,27.63,14.811
UGC07321,184.3918065,22.5402618,1.683,1.177,81.44,13.79
NGC4245,184.4032125,29.6079647,1.407,0.197,145.46,12.334
IC3107,184.445556,10.8446578,1.097,0.355,130.28,14.301
IC3112,184.451478,26.0307325,1.056,0.302,173.99,15.002
NGC4248,184.4578185,47.4091544,1.303,0.349,108,13.163
UGC07331,184.472985,17.4421147,1.113,0.216,178.45,14.552
NGC4246,184.4921655,7.1859226,1.33,0.294,84.01,13.407
NGC4219A,184.499451,-43.5399356,1.11,0.36,31.4,14.729
IC3115,184.499817,6.6540945,1.165,0.153,164.29,13.666
NGC4251,184.534584,28.1752778,1.37,0.281,99.5,11.632
NGC4202,184.5356355,-1.0640776,1.011,0.263,129.16,14.534
ESO441-026,184.54548,-29.6346545,1.116,0.263,46.1,15.146
IC3118,184.5461445,9.499695,1.109,0.395,171.25,14.742
SDSSJ121811.54+271653.4,184.548048,27.2815224,1.156,0.297,12.91,15.008
PGC039504,184.549965,7.6600301,1.023,0.356,61.37,15.34
IC3122,184.5893055,25.2167413,1.103,0.344,150.25,14.588
NGC4252,184.6287225,5.5594785,1.076,0.46,48.92,14.648
UGC07346,184.6741335,17.7187047,1.021,0.032,,14.426
NGC4256,184.67946,65.8982863,1.588,0.71,41.04,12.675
IC3104,184.69203,-79.7259263,1.375,0.262,41.74,13.66
NGC4254,184.7067315,14.4167921,1.702,0.026,,10.396
IC3131,184.712052,7.8619814,1.002,0.008,,14.089
IC0775,184.7236755,12.9127078,1.023,0.137,11.41,14.243
NGC4255,184.7339775,4.7860221,1.131,0.336,113.34,13.405
IC3136,184.7390865,6.1844104,1.085,0.425,33.43,14.888
NGC4258,184.7399355,47.3038816,2.23,0.37,150,9.124
ESO573-010,184.7457615,-20.0808702,1.103,0.092,2,14.34
IC0776,184.763136,8.8560262,1.049,0.259,92.54,14.352
ESO573-011,184.7772885,-22.1155859,1.076,0.072,153,15.45
UGC07358,184.8016065,49.3554813,1.239,0.505,35.48,14.261
NGC4259,184.842576,5.3763837,1.015,0.364,142.86,14.465
NGC4260,184.8428235,6.0988437,1.4,0.338,57.62,12.467
NGC4261,184.846542,5.8249555,1.628,0.103,159.83,11.184
SDSSJ121928.31+280653.5,184.86798,28.115085,1.268,0.583,3.24,15.241
NGC4262,184.877508,14.8775607,1.24,0.058,145,12.399
UGC07367,184.883748,49.8157302,1.184,0.283,91.48,13.555
NGC4271,184.8858165,56.736583,1.247,0.112,59.44,13.593
IC3152,184.899894,-26.145538,1.22,0.059,40.72,13.451
UGC07370,184.9178085,2.0800319,1.161,0.564,150.37,14.755
NGC4263,184.925838,-12.2255327,1.065,0.321,115.78,13.645
NGC4266,184.9261545,5.5383582,1.301,0.598,73.81,13.421
NGC4267,184.93869,12.7982809,1.406,0.16,143,11.819
NGC4268,184.946751,5.2837304,1.18,0.372,47.36,13.62
NGC4272,184.9485735,30.3391312,1.009,0.089,116.8,14.039
NGC4269,184.954905,6.0149429,1.085,0.118,130.02,13.411
NGC4270,184.9559595,5.4634017,1.274,0.381,110,12.961
NGC4274,184.9607445,29.6143394,1.56,0.33,101.75,11.325
PGC039726,184.963206,-6.8562148,1.118,0.482,81.29,14.46
NGC4273,184.9836645,5.3433682,1.34,0.049,10.74,12.307
ESO321-020,184.9898745,-39.6655453,1.114,0.068,155.1,12.82
IC0780,184.993293,25.7717305,1.072,0.152,7.54,14.363
PGC039748,184.997979,-17.3919306,1.032,0.202,136.99,14.64
IC0781,185.013708,14.9615168,1.115,0.021,,14.169
IC3165,185.019831,27.9753541,1,0.202,8.69,14.746
NGC4278,185.028264,29.28064,1.461,0.009,,11.04
NGC4276,185.03115,7.6916818,1.127,0.055,,13.565
ESO506-002,185.042241,-26.0668156,1.412,0.991,3.89,14.547
NGC4284,185.0526,58.0929272,1.278,0.344,101.26,14.488
ESO321-021,185.067564,-40.3908163,1.043,0.071,114.34,13.624
UGC07387,185.072505,4.2019622,1.299,0.818,15.88,14.868
NGC4291,185.073708,75.3709444,1.286,0.077,108.34,12.382
IC3167,185.0782935,9.5453639,1.131,0.24,109.84,14.72
NGC4283,185.0865645,29.3108028,1.091,0.037,,12.99
NGC4281,185.089749,5.3864016,1.455,0.3,86.25,12.11
NGC4279,185.1042705,-11.6664861,1.068,0.213,25.81,15.13
UGC07394,185.115348,1.4696514,1.04,0.71,150.57,15.06
UGC07396,185.140761,0.7880744,1.167,0.541,95.06,14.91
PGC039830,185.148414,52.257632,1.077,0.504,83.23,15.425
ESO573-012,185.1553335,-18.6670417,1.211,0.464,157.47,14.45
NGC4288,185.158929,46.2917083,1.231,0.101,137.69,13.296
NGC4286,185.175327,29.3458624,1.035,0.45,144.46,14.508
PGC039851,185.1860835,-13.80525,1.143,0.332,119.25,14.49
NGC4290,185.1980055,58.0924737,1.341,0.173,69.59,12.758
PGC039855,185.198013,-6.971726,1.231,0.473,138.33,15.155
NGC4287,185.201988,5.6397973,1.088,0.5,71,14.995
UGC07399A,185.203422,17.4871586,1.146,0.312,79.9,14.08
NGC4289,185.259471,3.722077,1.629,0.966,1.11,14.321
UGC07406,185.272869,61.0872584,1.002,0.091,19.41,14.45
ESO218-002,185.286042,-52.5860833,1.189,0.114,13.28,13.67
NGC4293,185.303964,18.3829994,1.795,0.225,72,11.073
PGC170189,185.3127915,-13.0131667,1.059,0.405,116,15.26
UGC07408,185.313471,45.8119871,1.298,0.37,100.85,13.551
NGC4292,185.3186115,4.5956819,1.205,0.16,9.82,13.087
NGC4294,185.324265,11.5106195,1.429,0.42,148.31,12.422
PGC1033402,185.333667,-6.3904028,1.01,0.52,84.5,15.44
NGC4296,185.3682435,6.6535658,1.158,0.261,15.72,14.494
NGC4298,185.3867325,14.6060549,1.404,0.259,136.55,11.943
UGC07411,185.392002,4.7794754,1.064,0.367,132,14.693
PGC039952,185.397333,-5.6396389,1.018,0.293,,15.16
IC0782,185.40405,5.7657626,1.056,0.25,60.9,14.306
IC0783,185.4115665,15.7451328,1.09,0.038,,14.086
UGC07416,185.413257,40.8489012,1.128,0.121,26.27,13.799
NGC4299,185.418999,11.5028445,1.17,0.029,,12.737
NGC4300,185.422779,5.3848375,1.254,0.396,40.41,13.363
NGC4302,185.4264735,14.5984387,1.778,0.726,178.48,12.127
ESO321-025,185.429118,-39.7693711,1.426,0.379,14.24,13.219
NGC4319,185.4324615,75.3225981,1.389,0.4,153.85,12.879
PGC039982,185.4331905,-12.4722296,1.123,0.593,157.2,15.09
PGC039975,185.4337695,75.3106542,1.09,0.226,126.75,15.46
IC3203,185.4401565,25.8846892,1.117,0.771,145.56,15.431
ESO506-004,185.454345,-24.1683003,1.344,0.336,88.85,13.323
ESO506-003,185.4561015,-25.075782,1.239,0.511,80.05,15.308
ESO321-026,185.4672,-38.790298,1.173,0.36,53.3,12.92
NGC4303,185.478414,4.4737765,1.838,0.021,,10.159
ESO267-041,185.4887145,-43.3347312,1.057,0.262,30.4,14.301
UGC07422,185.505438,5.1002146,1.055,0.402,168.71,14.641
ESO267-043,185.5092915,-46.2160139,1.085,0.166,156.34,14.43
ESO380-019,185.509353,-35.7927824,1.534,0.762,120.88,13.431
NGC4305,185.5150125,12.7409267,1.361,0.284,30.16,13.306
NGC4306,185.517102,12.7874957,1.174,0.149,142.38,13.578
NGC4307,185.5235505,9.043709,1.536,0.625,23.87,12.706
IC3209,185.5256535,11.7547189,1.002,0.45,151.32,14.973
NGC4309,185.551584,7.1443039,1.286,0.324,85.88,13.56
NGC4304,185.553081,-33.4844761,1.395,0.009,,12.472
UGC07436,185.58138,14.7607929,1.105,0.253,120.64,14.511
UGC07444,185.5992555,45.058358,1.07,0.289,42.86,14.548
ESO573-016,185.5996875,-21.1943465,1.188,0.707,70.55,15.26
NGC4310,185.6095605,29.2088388,1.286,0.403,147.95,13.442
NGC4303A,185.6134035,4.5662732,1.055,0.017,,13.525
ESO573-017,185.6222085,-22.3450278,1.215,0.199,77.5,15.265
IC0784,185.6251995,-4.6526898,1.324,0.549,92.82,14.115
NGC4312,185.6306085,15.5378136,1.701,0.641,169.94,12.481
NGC4314,185.63331,29.8954364,1.568,0.016,,11.417
NGC4331,185.6483205,76.1725646,1.199,0.636,2,14.713
NGC4313,185.660499,11.8009815,1.58,0.585,141.2,12.417
NGC4316,185.6759565,9.3325949,1.393,0.63,112.07,13.537
NGC4332,185.6948475,65.843786,1.295,0.139,137.01,13.217
PGC040150,185.7127395,-16.2904149,1.178,1.024,84.4,14.78
IC3229,185.7199725,6.6799577,1.091,0.478,43.15,15.246
NGC4321,185.7286665,15.8222492,1.785,0.037,,10.011
PGC040157,185.7359475,2.7470105,1.062,0.501,102.35,15.249
NGC4322,185.7571815,15.9055302,1.09,0.237,132.88,14.625
NGC4335,185.7579585,58.4446372,1.268,0.131,149.25,13.645
IC0785,185.758542,-13.2236944,1.054,0.361,69.82,15.32
NGC4324,185.775741,5.2504518,1.472,0.391,54.5,12.398
NGC4325,185.777688,10.6212837,1.089,0.205,179.7,14.33
IC0786,185.795667,-13.2046667,1.012,0.063,176,15
NGC4326,185.7984675,6.0721534,1.054,0.023,,14.235
IC3247,185.808177,28.893817,1.269,0.847,174.25,15.403
NGC4330,185.82114,11.3678395,1.36,0.585,59.5,13.121
NGC4328,185.8334415,15.8204181,1.203,0.113,98.69,14.191
NGC4329,185.8362495,-12.5585833,1.035,0.263,48.67,14.647
NGC4334,185.8494855,7.4733617,1.301,0.342,135,14.091
NGC4346,185.8664535,46.9938136,1.519,0.468,99,12.139
NGC4336,185.8742625,19.4268878,1.188,0.281,162.27,13.232
NGC4339,185.895588,6.0817629,1.366,0.024,,12.319
NGC4340,185.897181,16.7223795,1.45,0.197,87.04,12.081
NGC4344,185.906208,17.5409457,1.128,0.015,,13.309
NGC4343,185.911263,6.9540753,1.284,0,,13.307
NGC4342,185.9125185,7.05395,1.098,0.292,165.12,13.205
UGC07464,185.9233365,2.9613023,1.131,0.596,141.78,14.951
IC3258,185.9349375,12.4775015,1.13,0.094,88.21,13.779
IC3253,185.9384535,-34.6221551,1.48,0.401,24.05,12.608
IC3259,185.952129,7.1866572,1.214,0.294,18.4,14.233
NGC4341,185.97291,7.1071601,1.224,0.517,94.99,13.784
NGC4348,185.9748735,-3.4429044,1.426,0.725,27.18,13.112
NGC4350,185.990895,16.6932757,1.447,0.323,28.43,11.815
NGC4357,185.995197,48.7794517,1.541,0.437,76.59,13.444
NGC4353,186.0011055,7.7851738,1.02,0.113,66.97,14.132
NGC4351,186.006084,12.2046451,1.199,0.091,72.24,12.953
UGC07479,186.00852,58.3851533,1.059,0.093,166.67,14.175
NGC4352,186.0208425,11.21807,1.215,0.331,101.54,13.433
IC3267,186.0230505,7.0413257,1.083,0.015,,14.121
ESO218-003,186.0273015,-50.52256,1.134,0.74,88.8,15.26
IC3268,186.0309795,6.6080218,1.002,0.098,11.7,13.769
NGC4359,186.0464025,31.5219141,1.14,0.22,107.88,13.652
NGC4362,186.0471075,58.3606564,1.107,0.414,41.2,14.956
NGC4356,186.060915,8.53638,1.303,0.44,39.74,13.406
NGC4360,186.0904695,9.2927687,1.146,0.066,147.67,13.318
UGC07490,186.103683,70.3342222,1.06,0.23,,13.417
PGC881391,186.1077285,-17.5508611,1.01,0.51,11.5,15.17
NGC4365,186.1169205,7.3167467,1.709,0.145,40.25,10.5
NGC4386,186.1179585,75.5288889,1.402,0.243,135,12.663
ESO573-018,186.1206705,-21.6313222,1.125,0.052,92.5,14.477
ESO380-025,186.1425225,-35.410194,1.249,0.686,14.04,14.817
NGC4369,186.151113,39.382767,1.297,0.021,,12.347
PGC040408,186.1643415,3.9955141,1.018,0.43,108.2,15.207
IC3292,186.2015235,18.1951035,1.039,0.127,133.78,15.03
NGC4370,186.2288475,7.4447009,1.209,0.183,79.35,13.408
NGC4371,186.230853,11.7042332,1.589,0.331,96.18,11.68
IC3289,186.239286,-26.0306422,1.062,0.028,,14.17
NGC4375,186.251967,28.5585849,1.064,0.134,13.75,13.833
NGC4374,186.26544,12.8871094,1.87,0.061,133.45,10.011
IC3298,186.265602,17.0159415,1.106,0.538,156.47,15.263
IC3300,186.27072,25.9575334,1.059,0.584,79.91,15.199
IC3290,186.287412,-39.7754842,1.346,0.173,35.76,13.57
NGC4384,186.299697,54.5061989,1.105,0.11,84.92,13.519
NGC4377,186.3013485,14.7622167,1.203,0.111,179.29,12.682
IC3305,186.310374,11.8495722,1.032,0.386,40.88,14.899
NGC4379,186.3113925,15.6074185,1.271,0.088,103.48,12.538
NGC4373,186.3247335,-39.7596596,1.6,0.275,53.87,11.903
ESO268-003,186.3248055,-43.4454837,1.023,0.102,120.33,14.457
NGC4378,186.3252345,4.9249453,1.32,0.035,,12.237
NGC4376,186.3253065,5.7411417,1.121,0.225,151.97,13.807
NGC4391,186.3281625,64.9335186,1.097,0.004,,13.73
NGC4392,186.3290475,45.8474411,1.2,0.135,,14.292
ESO268-004,186.3381255,-47.4740556,1.314,0.241,118.08,13.64
NGC4380,186.342285,10.0168034,1.525,0.274,158.32,12.285
NGC4382,186.350004,18.190178,1.842,0.114,,9.943
IC0787,186.354648,16.1241256,1.025,0.383,179.82,14.887
NGC4383,186.3561885,16.4699742,1.223,0.271,31.06,12.661
PGC040522,186.37188,47.2732297,1.005,0.095,111.93,14.859
IC3311,186.3877395,12.2604676,1.266,0.619,134.47,14.681
ESO268-005,186.3917295,-45.2632361,1.006,0.14,154.1,14.74
NGC4389,186.3944085,45.6851917,1.399,0.178,97.55,12.546
PGC040547,186.400002,15.8476304,1.126,0,,15.02
ESO322-007,186.4013655,-40.7248788,1.066,0.113,106.1,15.207
IC3313,186.4018035,15.8299449,1.126,0.022,,14.216
NGC4373A,186.407163,-39.3195248,1.447,0.43,151.56,12.683
PGC040561,186.420441,-2.9506716,1.186,0.466,130.99,14.645
NGC4387,186.423702,12.8104323,1.198,0.227,138.12,12.925
IC3322A,186.4272375,7.2171379,1.29,0.62,155.93,13.56
NGC4385,186.428244,0.5726589,1.332,0.269,90.68,13.152
PGC040543,186.439533,51.6683475,1.124,0.231,79.72,14.688
PGC040576,186.442914,45.2902113,1.043,0.118,126.48,15.167
UGC07516,186.444471,4.5099524,1.016,0.44,165.73,14.733
NGC4388,186.4448235,12.6620998,1.731,0.621,91.08,11.727
ESO573-021,186.4486635,-21.7458635,1.076,0.051,47.67,14.805
NGC4395,186.453741,33.5467883,1.62,0.477,127.81,10.837
NGC4390,186.461103,10.459049,1.182,0.13,98.97,13.336
NGC4393,186.4634205,27.5607097,1.465,0.033,,13.722
PGC040570,186.471663,62.4291698,1.043,0.331,63.27,14.981
UGC07525,186.474144,45.2815144,1.014,0.061,43.23,15.273
IC3322,186.475479,7.554779,1.367,0.557,156.35,14.079
NGC4394,186.4818195,18.214115,1.543,0.019,,11.631
IC3330,186.484644,30.8435897,1.055,0.354,101.26,14.967
PGC157753,186.4846635,-3.9764023,1.06,0.59,121,15.115
UGC07522,186.4936095,3.4296676,1.419,0.964,128.53,14.231
NGC4396,186.4962375,15.6708223,1.473,0.454,124.28,13.116
UGC07530,186.5094495,45.8919957,1.029,0.42,10.98,15.369
IC3331,186.5222265,11.812198,1.01,0.276,50.79,15.041
NGC4405,186.5297295,16.1809649,1.183,0.173,20.65,12.941
NGC4402,186.5316225,13.1131309,1.546,0.544,88.94,12.783
UGC07534,186.5330715,58.3202835,1.289,0.097,36,13.468
ESO322-009,186.5408955,-39.124,1.256,0.39,127.84,14.14
NGC4406,186.549081,12.9458098,2.062,0.136,127.79,9.736
NGC4403,186.5532915,-7.6849444,1.199,0.411,16.98,13.495
NGC4404,186.567303,-7.6808345,1.192,0.193,138.67,14.253
IC0789,186.585468,7.4601995,1.005,0.242,140.26,14.777
NGC4414,186.612942,31.2235137,1.29,0.24,162.28,10.99
NGC4411,186.6244125,8.872245,1.212,0.22,19,13.312
PGC040684,186.6250725,54.1792405,1.043,0.461,129.17,15.153
NGC4413,186.634272,12.6106627,1.319,0.155,53.07,12.809
NGC4412,186.650277,3.9647883,1.175,0.046,108.75,13.003
NGC4415,186.6686655,8.4356835,1.108,0.055,6.1,13.586
ESO268-008,186.6738015,-45.6967419,1.089,0.035,,13.991
NGC4373B,186.682521,-39.1341389,1.013,0.11,95.43,15.06
PGC040731,186.6834495,56.0708078,1.082,0.557,1.71,15.491
SDSSJ122646.04+075511.4,186.6917835,7.9198221,1.197,0.009,,13.47
NGC4416,186.694584,7.9188501,1.196,0.058,112.16,13.154
NGC4411B,186.6966705,8.8845899,1.284,0.049,,12.979
IC3356,186.7106145,11.5588948,1.167,0.263,69.52,15.451
NGC4417,186.7107675,9.5842976,1.49,0.452,49.33,11.951
IC3355,186.7135065,13.1746237,1.039,0.403,165.81,15.376
IC3358,186.726498,11.6638358,1.021,0.106,118.03,14.33
PGC040759,186.727209,10.6658226,1.013,0.163,119.41,15.49
NGC4355,186.727611,-0.877567,1.15,0.319,63.55,13.831
PGC040768,186.7311615,37.9089624,1.034,0.227,136.68,14.388
NGC4419,186.735207,15.0473742,1.59,0.477,132.67,11.982
NGC4409,186.743694,2.494399,1.26,0.313,9.25,12.773
IC0791,186.7478535,22.6395683,1.02,0.034,,14.392
NGC4421,186.7606185,15.4614639,1.413,0.118,9.04,12.29
UGC07559,186.771576,37.1427793,1.55,0.187,145.5,14.183
IC0792,186.7866165,16.3253851,1.007,0.358,56.38,14.758
NGC4423,186.787635,5.8806639,1.312,0.699,20.24,13.882
UGC07557,186.7972005,7.263,1.437,0.052,,13.447
NGC4424,186.7987005,9.4204423,1.483,0.286,95.25,12.296
NGC4422,186.8004,-5.8309212,1.17,0.014,,14.593
NGC4425,186.8055705,12.7347979,1.489,0.388,26.15,12.822
ESO322-011,186.8173065,-40.4744289,1.086,0.198,17.65,14.57
PGC040819,186.823911,14.1473684,1.127,0.281,,14.719
NGC4441,186.83484,64.8015378,1.616,0.145,171.29,13.337
IC3371,186.8425845,10.8667153,1.069,0.66,53.79,15.265
NGC4430,186.859668,6.2629711,1.306,0.13,74.71,12.648
NGC4429,186.8604435,11.1077405,1.724,0.341,97.81,10.875
NGC4431,186.8640945,12.2903239,1.185,0.241,179.43,13.817
NGC4428,186.8679555,-8.1679007,1.21,0.381,92.94,13.151
PGC040869,186.8826,9.5958004,1.309,0.786,,14.669
NGC4434,186.902841,8.1543168,1.151,0.016,,12.957
IC3370,186.9046845,-39.3379478,1.494,0.135,52.86,11.995
NGC4433,186.911016,-8.2803408,1.301,0.477,2.81,13.226
PGC040889,186.9115215,18.4345809,1.092,0,,15.182
NGC4435,186.9186555,13.0788413,1.481,0.151,12.25,11.525
NGC4436,186.9219315,12.3159687,1.22,0.323,113.83,13.955
UGC07577,186.922548,43.4957365,1.586,0.191,125.49,12.896
ESO380-033,186.934209,-34.4222222,1.016,0.239,153.49,14.567
NGC4438,186.9397875,13.0092546,1.962,0.358,27,10.97
UGC07582,186.949983,50.3878531,1.024,0.574,9.51,15.368
NGC4456,186.968397,-30.0975035,1.11,0.273,154.02,14.116
NGC4440,186.9731925,12.2932616,1.248,0.09,,12.786
UGC07579,186.980784,5.7211581,1.089,0.625,129.16,14.919
PGC040937,187.0152345,54.1959529,1.025,0.231,153.43,15.168
NGC4442,187.016184,9.8036962,1.635,0.427,87,11.325
IC0794,187.035828,12.0932943,1.12,0.149,102.59,14.314
